Abbreviation,Season,Team,Skating Speed,Skating Speed,Skating Speed,Skating Speed,Skating Speed,Skating Speed,,Distance (above average),Distance (above average),Distance (above average),,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,Shot Speed,,Zone Time,Zone Time,Zone Time,Zone Time,Zone Time,Zone Time,,Zone Time,Zone Time,Zone Time,Zone Time,,Zone Efficiency,Zone Efficiency,Zone Efficiency,Zone Efficiency,Zone Efficiency,,,Shot Locations (BTN),Shot Locations (BTN),Shot Locations (BTN),Shot Locations (Net),Shot Locations (Net),Shot Locations (Net),Shot Locations (Net),Shot Locations (Slot),Shot Locations (Slot),Shot Locations (Slot),Shot Locations (Point),Shot Locations (Point),Shot Locations (Point),Shot Locations (Flank),Shot Locations (Flank),Shot Locations (NZ),,Goal Locations (BTN),Goal Locations (BTN),Goal Locations (BTN),Goal Locations (Net),Goal Locations (Net),Goal Locations (Net),Goal Locations (Net),Goal Locations (Slot),Goal Locations (Slot),Goal Locations (Slot),Goal Locations (Point),Goal Locations (Point),Goal Locations (Point),Goal Locations (Flank),Goal Locations (Flank),Goal Locations (NZ)
Abbreviation,Season,Team,22+,20+,18+,22+ per 60,20+ per 60,18+ per 60,,ES,PP,PK,,Average,90+,80+,70+,90+ per 60,80+ per 60,70+ per 60,90+ %,80+ %,70+ %,,ES OZ%,ES NZ%,ES DZ%,OZ%,PPOZ%,PK DZ%,,OZ time,DZ time,PPOZ time,PKDZ time,,OZE,DZE,ZE%,PPZE,PKZE,,TOI,L,C,R,L,CREASE,FRONT,R,L,C,R,L,C,R,L,R,NZ,,L,C,R,L,CREASE,FRONT,R,L,C,R,L,C,R,L,R,NZ
ANA,21-22,Anaheim Ducks,34,1318,6941,0.4,15.8,83.3,,-0.3,-0.3,-0.3,,45,49,346,965,0.6,4.2,11.6,1.1%,7.9%,21.9%,,39.7%,18.6%,41.7%,48.8%,56.1%,59.3%,,1660,1744,205,221,,6.1,6.4,48.9%,10.2,13.8,,5002.0,3,20,4,66,18,655,58,234,223,218,177,184,178,86,120,80,,0,2,0,3,6,121,5,18,25,17,5,8,3,4,5,6
ARI,21-22,Arizona Coyotes,23,1098,6260,0.3,13.3,75.6,,-0.3,0.0,-0.5,,52,61,374,776,0.7,4.5,9.4,1.6%,9.6%,19.9%,,37.6%,18.5%,43.9%,46.1%,56.4%,64.8%,,1555,1815,192,269,,5.6,6.6,47.9%,9.7,12.5,,4969.4,1,8,1,55,25,559,63,187,246,199,167,129,181,93,117,34,,0,0,0,3,8,96,8,17,34,11,5,5,10,2,3,2
BOS,21-22,Boston Bruins,59,1503,7343,0.7,18.2,88.8,,0.1,-0.0,0.5,,31,90,449,1238,1.1,5.4,15.0,1.8%,9.2%,25.3%,,41.4%,18.9%,39.7%,51.0%,59.3%,56.6%,,1674,1605,230,241,,6.3,5.0,53.4%,13.2,11.3,,4959.6,3,10,2,64,41,698,92,286,356,265,240,213,228,167,146,84,,0,3,1,3,6,123,5,19,46,20,5,6,4,9,2,0
BUF,21-22,Buffalo Sabres,42,1410,7095,0.5,17.0,85.6,,-0.3,0.1,-0.1,,46,95,463,1041,1.1,5.6,12.6,2.2%,10.9%,24.6%,,38.7%,18.8%,42.6%,47.6%,55.9%,58.0%,,1613,1775,210,206,,5.6,6.1,50.9%,10.1,13.3,,4974.5,0,9,2,30,22,576,54,213,272,249,208,227,234,111,130,60,,0,1,1,4,5,101,0,14,35,20,5,8,5,7,6,2
CAR,21-22,Carolina Hurricanes,83,1650,7386,1.0,19.9,89.2,,-0.0,-0.5,0.0,,41,48,543,1184,0.6,6.6,14.3,0.9%,10.6%,23.1%,,45.5%,18.9%,35.7%,56.0%,59.8%,49.4%,,1829,1435,219,236,,6.8,7.1,50.1%,13.5,10.4,,4969.4,2,13,6,68,50,740,64,233,260,193,282,241,248,141,135,39,,1,3,0,3,9,132,7,29,43,23,7,10,8,2,3,5
CBJ,21-22,Columbus Blue Jackets,113,1905,7467,1.4,23.0,90.1,,0.1,0.0,0.0,,50,78,582,1083,0.9,7.0,13.1,1.7%,12.8%,23.8%,,38.4%,18.2%,43.4%,46.9%,55.7%,55.9%,,1582,1788,208,217,,6.1,6.6,50.9%,11.0,14.1,,4971.9,3,10,4,40,32,573,63,279,292,239,198,159,171,122,125,65,,0,2,0,3,17,141,10,16,39,13,5,10,6,3,5,2
CGY,21-22,Calgary Flames,51,1643,7827,0.6,19.9,94.6,,0.0,0.3,0.1,,49,136,517,1171,1.6,6.2,14.1,2.6%,9.9%,22.4%,,42.0%,18.6%,39.4%,51.6%,58.5%,53.4%,,1716,1610,228,225,,6.6,5.9,53.7%,14.5,10.7,,4966.2,6,11,2,65,48,713,79,291,353,229,252,216,211,135,153,81,,1,0,0,8,1,114,6,17,26,16,3,6,5,5,3,1
CHI,21-22,Chicago Blackhawks,56,1475,7246,0.7,17.7,87.0,,0.2,0.0,0.0,,41,46,322,933,0.6,3.9,11.2,1.1%,7.5%,21.9%,,40.0%,18.2%,41.7%,49.0%,59.4%,59.2%,,1655,1726,245,213,,5.3,5.9,46.9%,10.9,12.6,,4996.3,1,5,1,73,15,601,83,228,266,208,198,197,171,110,106,44,,0,2,0,2,5,142,7,26,50,24,4,16,8,6,7,2
COL,21-22,Colorado Avalanche,218,2585,8411,2.6,31.2,101.6,,0.3,-0.4,0.3,,51,86,581,1248,1.0,7.0,15.1,1.7%,11.3%,24.2%,,41.6%,18.6%,39.9%,51.0%,59.0%,59.3%,,1676,1607,264,226,,6.2,5.9,51.9%,13.9,13.3,,4967.6,2,9,0,46,29,703,78,303,335,277,200,307,189,134,114,71,,0,0,1,3,11,116,5,31,36,17,7,6,4,6,6,2
DAL,21-22,Dallas Stars,143,1770,7158,1.7,21.3,86.1,,0.3,0.7,-0.1,,50,27,358,1049,0.3,4.3,12.6,0.6%,7.7%,22.6%,,40.1%,18.5%,41.4%,49.2%,57.8%,59.0%,,1657,1710,226,206,,6.5,6.0,49.9%,13.8,10.3,,4990.8,4,7,2,71,54,714,44,200,268,204,204,137,191,132,104,65,,0,0,0,3,14,132,2,9,27,16,6,5,4,3,2,0
DET,21-22,Detroit Red Wings,43,1297,6290,0.5,15.6,75.8,,-0.2,0.2,-0.2,,52,50,390,918,0.6,4.7,11.1,1.2%,9.3%,21.9%,,39.1%,18.3%,42.6%,47.9%,58.1%,60.2%,,1617,1762,222,221,,6.1,6.6,48.4%,11.9,13.2,,4982.1,4,14,4,80,62,625,94,192,254,180,181,167,189,121,112,79,,1,1,0,6,15,86,6,24,36,20,3,10,5,3,6,4
EDM,21-22,Edmonton Oilers,190,2425,7966,2.3,29.2,96.0,,-0.0,-0.1,0.0,,45,109,521,1103,1.3,6.3,13.3,2.2%,10.5%,22.2%,,43.1%,18.4%,38.5%,52.8%,61.3%,59.1%,,1771,1582,229,242,,6.5,6.7,49.6%,16.3,14.2,,4979.2,0,10,3,80,76,774,103,228,258,218,191,241,224,131,130,50,,0,4,0,7,17,139,13,15,34,22,6,8,4,4,9,0
